year,domain,title,representation,realism,scale,url,author
2022,Power,Daily profiles (2040) of load and flexibility of an urban electricity distribution network from Portugal â€“ ATTEST project,Symbolic format,Anonymized,Large-Benchmark,https://zenodo.org/records/6401465,Nuno Fonseca and Henrique Teixeira and Fernando Ribeiro and AndrÃ© Madureira and Filipe Soares
2022,Power,Daily profiles (2020) of load of a electricity distribution network (86 nodes) from Croatia,Symbolic format,Anonymized,Large-Benchmark,https://zenodo.org/records/6382254,Martin Bolfek
2023,Electronics,MNISQ: A Large-Scale Quantum Circuit Dataset for Machine Learning on/for Quantum Computers in the NISQ era,Symbolic format,Synthetic,Large-Benchmark,https://github.com/FujiiLabCollaboration/MNISQ-quantum-circuit-dataset,Leonardo Placidi and Ryuichiro Hataya and Toshio Mori and Koki Aoyama and Hayata Morisaki and Kosuke Mitarai and Keisuke Fujii
2023,Power,KPG: Kirk representation of Power Graphs | IEEE DataPort,Symbolic format,Synthetic,Small/Single-domain,https://ieee-dataport.org/documents/kpg-kirk-representation-power-graphs,Mohammad Shahraeini
2023,Power,ER_SPG: Synthetic Power Graph generation by Erdos-Renyi Model,Symbolic format,Synthetic,Small/Single-domain,https://ieee-dataport.org/documents/erspg-synthetic-power-graph-generation-erdos-renyi-model,Mohammad Shahraeini
2023,Power,Synthetic electricity distribution networks from UK for flexibility analysis - ATTEST project,Symbolic format,Synthetic,Small/Single-domain,https://zenodo.org/records/7502542,Eduardo Martinez-cesena
2024,Electronics,jitendra-bhandari/Masala-CHAI,Symbolic format,Real,Large-Benchmark,https://github.com/jitendra-bhandari/Masala-CHAI/tree/main,Jitendra Bhandari and Vineet Bhat and Yuheng He and Ahmed Rahmani and Siddharth Garg and Ramesh Karri
2024,Power,A large synthetic dataset for machine learning applications in power transmission grids,Symbolic format,Anonymized,Large-Benchmark,https://zenodo.org/records/13378476,Marc Gillioz and Guillaume Dubuis and Philippe Jacquod
2024,Power,European Archetype Distribution Grid Models,Symbolic format,Anonymized,Large-Benchmark,https://zenodo.org/records/12755441,Marius Masuch and Christian Rehtanz
2024,Power,"
A Library of IEEE PES Power Grid Benchmarks",Symbolic format,Anonymized,Large-Benchmark,https://github.com/power-grid-lib,Carleton Coffrin
2024,Power,"Dataset of ""Smart Grids Transmission Network Testbed: Design, Deployment, and Beyond""",Symbolic format,Anonymized,Large-Benchmark,https://zenodo.org/records/13332539,Petr Mlýnek and Radek Fujdiak and Karel Bouzek and Michal Carda
2025,Electronics,Bench-PCNP | IEEE DataPort,Symbolic format,Real,Large-Benchmark,https://ieee-dataport.org/documents/bench-pcnp,Jie Yang
2025,Electronics,dakhmatipcb/open-schematics Â· Datasets at Hugging Face,Symbolic format,Real,Large-Benchmark,https://huggingface.co/datasets/dakhmatipcb/open-schematics,bshada
2025,Electronics,AnalogGenie,Symbolic format,Real,Large-Benchmark,https://github.com/xz-group/AnalogGenie/tree/main,Jian Gao
2025,Power,DohaTeslaLab Global Power Grid Map,Symbolic format,Real,Large-Benchmark,https://osf.io/wj5fm,Doha Lee
2025,Power,BenCheng2/CarbonDistributionMap: Code and Dataset for: Open Datasets for Grid Modeling and Visualization: An Alberta Power Network Case Â· GitHub,Symbolic format,Real,Small/Single-domain,https://github.com/BenCheng2/CarbonDistributionMap/tree/main,Ben Cheng and Yize Chen
2025,Power,caltech-netlab/digital-twin-dataset Â· GitHub,Symbolic format,Anonymized,Large-Benchmark,https://github.com/caltech-netlab/digital-twin-dataset/tree/master,Yiheng Xie and Thuy-Linh Le
2025,Power,OpenSynth/D-GITT-RTE7000-2021 Â· Datasets at Hugging Face,Symbolic format,Anonymized,Large-Benchmark,https://huggingface.co/datasets/OpenSynth/D-GITT-RTE7000-2021,Selim Ben Turkia and Olivier Pigeon-Schneider and Camille Pache and Boris Dolley and Lucas Saludjian and Patrick Panciatici
2025,Power,MATPOWER,Symbolic format,Real,Large-Benchmark,https://zenodo.org/records/15871662,Ray D. Zimmerman and Carlos E. Murillo-SÃ¡nchez
2025,Power,Kuwait - Electricity Transmission Network,Symbolic format,Real,Large-Benchmark,https://energydata.info/dataset/kuwait-electricity-transmission-network,World Bank Group
2026,Electronics,QSBench: Synthetic quantum circuit datasets for QML benchmarking,Symbolic format,Synthetic,Large-Benchmark,https://huggingface.co/datasets/QSBench/QSBench-Core-v1.0.0-demo,Nikolay
2026,Electronics,Asynchronous Circuit Logic Dataset (ACLD) | IEEE DataPort,Symbolic format,Synthetic,Large-Benchmark,https://ieee-dataport.org/documents/asynchronous-circuit-logic-dataset-acld,Yuxin Ji and Haochen Du and Minwei Lin and Chao Wang and Qing Zhang and Yuting Hou and Yongfu Li
2026,Power,Electric Grid Test Case Repository,Symbolic format,Real,Large-Benchmark,https://electricgrids.engr.tamu.edu/electric-grid-test-cases/,Texas A&M Engineering Experiment Station
